ADP-ID,STAND_COUNT,SITES,REPS,DISEASE SCORE 3rd JUNE,DISEASE_SCORE 9TH JUNE,DISEASE_SCORE19THJUNE,BLOCKS
ADP0729,28,1,2,1,2,3,7
loc0002,32,1,2,1,2,3,7
ADP0520,22,1,2,1,1,5,7
ADP0099,21,1,2,1,2,5,7
ADP0571,31,1,2,2,1,5,7
ADP0083,19,1,2,1,1,2,7
ADP0090,12,1,2,1,1,3,8
ADP0118,25,1,2,1,2,5,8
ADP0650,24,1,2,1,2,4,8
loc0003,10,1,2,1,1,1,8
ADP0661,28,1,2,1,2,4,8
ADP0560,30,1,2,2,3,5,8
ADP0029,25,1,2,1,2,5,8
ADP0028,23,1,2,1,1,3,8
ADP0102,29,1,2,1,2,4,8
ADP0570,28,1,2,1,1,4,8
ADP0047,23,1,2,1,2,4,8
ADP0519,29,1,2,1,2,5,8
ADP0055,28,1,2,1,3,4,8
ADP0111,14,1,2,2,2,2,9
ADP0475,20,1,2,1,2,1,9
ADP0532,26,1,2,1,1,2,9
ADP0537,30,1,2,1,1,5,9
ADP0014,23,1,2,1,3,5,9
ADP0345,26,1,2,1,3,5,9
ADP0531,24,1,2,1,3,5,9
ADP0008,27,1,2,1,1,4,9
ADP0207,20,1,2,1,2,5,9
ADP0525,13,1,2,1,1,3,9
ADP0053,25,1,2,1,3,5,9
ADP0517,29,1,2,1,2,4,9
ADP0105,31,1,2,1,1,2,10
ADP0037,21,1,2,2,4,4,10
ADP0062,26,1,2,2,4,4,10
ADP0585,29,1,2,3,4,5,10
ADP0065,29,1,2,1,2,4,10
ADP0167,28,1,2,1,1,2,10
ADP0479,23,1,2,1,1,1,10
ADP0106,24,1,2,1,1,1,10
ADP0009,27,1,2,1,2,1,10
ADP0739,25,1,2,1,1,1,10
ADP0107,29,1,2,1,3,5,10
ADP0465,22,1,2,2,3,5,10
loc0004,26,1,2,1,2,2,10
ADP0529,22,1,2,1,1,1,11
ADP0462,25,1,2,1,4,4,11
ADP0005,21,1,2,2,4,5,11
ADP0587,22,1,2,3,4,5,11
ADP0346,22,1,2,1,2,2,11
ADP0573,22,1,2,1,3,3,11
ADP0277,32,1,2,1,2,2,11
ADP0461,17,1,2,2,2,4,11
ADP0271,14,1,2,2,3,5,11
ADP0070,13,1,2,2,2,4,11
ADP0459,27,1,2,2,3,5,11
ADP0353,21,1,2,1,2,5,11
ADP0508,12,1,2,1,2,5,11
ADP0013,13,1,2,1,3,4,12
ADP0115,21,1,2,2,4,5,12
ADP0563,26,1,2,1,3,5,12
ADP0395,28,1,2,1,3,1,12
loc0001,29,1,2,1,4,3,12
ADP0127,30,1,2,2,2,1,12
ADP0466,22,1,2,1,1,1,12
ADP0188,23,1,2,1,2,2,12
ADP0042,24,1,2,2,1,1,12
ADP0213,32,1,2,1,2,2,12
ADP0523,26,1,2,2,3,3,12
ADP0122,30,1,2,1,2,2,12
ADP0186,27,1,2,1,4,5,12
ADP0666,19,1,2,1,2,5,13
